annoc,time
تداول تعلن عن تمديد فترتي مزاد الإغلاق والتداول على سعر الإغلاق يوم 19سبتمبر تزامناً مع بدء تنفيذ المرحلة الرابعة من الانضمام إلى مؤشر فوتسي راسل (FTSE Russell) والمرحلة الثانية والأخيرة من الانضمام إلى مؤشر (S&P Dow Jones) للأسواق الناشئة,1441/01/16    15/09/2019 15:58:07 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية لـشركة الأعمال التطويرية الغذائية,1441/01/13    12/09/2019 09:33:28 
إعلان من السوق المالية السعودية (تداول) بشأن تعليق تداول سهم الشركة الوطنية للبناء والتسويق,1441/01/13    12/09/2019 09:05:48 
فرض غرامة مالية على  شركة ريدان الغذائية لمخالفتها قواعد طرح الأوراق المالية والالتزامات المستمرة.,1441/01/12    11/09/2019 16:09:58 
فرض غرامة مالية على شركة بحر العرب لأنظمة المعلومات لمخالفتها قواعد طرح الأوراق المالية والالتزامات المستمرة,1441/01/12    11/09/2019 16:01:49 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية لـشركة أميانتيت العربية السعودية,1441/01/12    11/09/2019 08:25:58 
ترخيص هيئة السوق المالية لشركة اسناد المالية لتقديم خدمات أعمال الأوراق المالية,1441/01/11    10/09/2019 16:20:06 
فرض غرامة مالية على شركة الأعمال التطويرية الغذائية  لمخالفتها قواعد طرح الأوراق المالية والالتزامات المستمرة.,1441/01/11    10/09/2019 16:17:57 
ترخيص هيئة السوق المالية لشركة ركاز الوطنية المالية لتقديم خدمات أعمال الأوراق المالية,1441/01/11    10/09/2019 16:14:29 
ترخيص هيئة السوق المالية لشركة ناتيكسيس العربية السعودية للإستثمار لتقديم خدمات أعمال الأوراق المالية,1441/01/11    10/09/2019 16:11:00 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم شركة الأعمال التطويرية الغذائية على اساس سعر 39.5 ريال,1441/01/11    10/09/2019 08:26:53 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم شركة أميانتيت العربية السعودية على اساس سعر 22.70 ريال,1441/01/10    09/09/2019 08:18:27 
تداول تطلق الشهادة المهنية للإفصاح عن المعلومات لمصدري الأوراق المالية وصناديق الاستثمار في السوق المالية السعودية,1441/01/09    08/09/2019 15:30:10 
فرض غرامة مالية على شركة حلواني إخوان لمخالفتها قواعد طرح الأوراق المالية والالتزامات المستمرة.,1441/01/05    04/09/2019 16:41:41 
تسجيل هيئة السوق المالية  لشركة سليمان عبدالله الخراشي (الخراشي وشركاه محاسبون ومراجعون قانونيون),1441/01/05    04/09/2019 16:35:42 
تسجيل هيئة السوق المالية لشركة تركي عبدالمحسن اللحيد وصالح عبدالله اليحيى محاسبون ومراجعون قانونيون,1441/01/05    04/09/2019 16:30:45 
 إجازة اليوم الوطني للـسوق المالية السعودية (تداول),1441/01/03    02/09/2019 15:20:21 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية لمجموعة السريع التجارية الصناعية,1441/01/03    02/09/2019 08:34:59 
تعلن السوق المالية السعودية عن نشر التقرير الشهري لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1441/01/02    01/09/2019 15:56:59 
تعديل قائمة أعمال شركة جلف ون كابيتال,1441/01/02    01/09/2019 15:42:47 
تداول تعلن عن اكتمال انضمامها إلى مؤشر إم إس سي آي للأسواق الناشئة,1440/12/28    29/08/2019 15:42:58 
إعلان من الأمانة العامة للجان الفصل في منازعات الأوراق المالية عن صدور قرار لجنة الاستئناف بإدانة مخالف لنظام السوق المالية ولوائحه التنفيذية,1440/12/28    29/08/2019 15:35:34 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم مجموعة السريع التجارية الصناعية على اساس سعر 40.75 ريال,1440/12/28    29/08/2019 08:31:12 
تعديل قائمة أعمال شركة إثراء المالية,1440/12/25    26/08/2019 15:59:05 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية لـشركة عبدالله سعد محمد أبو معطي للمكتبات ,1440/12/25    26/08/2019 08:27:36 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية لـصكوك الحكومة السعودية بالريال ,1440/12/24    25/08/2019 08:15:42 
إعلان بشأن الموافقة على إدراج أدوات الدين الحكومية من فئة سبق إدراجها في السوق المالية السعودية,1440/12/21    22/08/2019 16:02:47 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم شركة عبد الله سعد محمد أبو معطي للمكتبات على اساس سعر13.60  ريال,1440/12/21    22/08/2019 08:58:26 
إعلان من السوق المالية السعودية (تداول) بشأن تعليق تداول سهم الشركة الوطنية للتسويق الزراعي,1440/12/21    22/08/2019 08:51:31 
إعلان من السوق المالية السعودية (تداول) بشأن تعليق تداول سهم شركة اللجين,1440/12/21    22/08/2019 08:45:22 
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح صندوق الاستثمار المؤشر المتداول ""صندوق البلاد المتداول للصكوك السيادية السعودية"" طرحاً عاماً",1440/12/20    21/08/2019 16:05:19 
موافقة الهيئة على طلب شركة أميانتيت العربية السعودية تخفيض رأس مالها,1440/12/20    21/08/2019 15:58:27 
تداول تعلن عن تمديد فترتي مزاد الإغلاق والتداول على سعر الإغلاق يوم 27أغسطس تزامناً ًمع بدء تنفيذ المرحلة الثانية والأخيرة من الانضمام إلى مؤشر إم إس سي آي (MSCI) للأسواق الناشئة ,1440/12/19    20/08/2019 16:03:48 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية لـشركة حلواني إخوان,1440/12/07    08/08/2019 08:29:30 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم شركة حلواني إخوان على اساس سعر 34.85 ريال,1440/12/05    06/08/2019 08:22:42 
موافقة الهيئة على طلب شركة مجموعة السريع التجارية الصناعية تخفيض رأس مالها,1440/12/04    05/08/2019 16:55:52 
إعلان من الأمانة العامة للجان الفصل في منازعات الأوراق المالية عن صدور قرار لجنة الاستئناف بإدانة مخالف لنظام السوق المالية ولوائحه التنفيذية,1440/11/29    01/08/2019 15:37:11 
تعلن السوق المالية السعودية عن نشر التقرير الشهري لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/11/29    01/08/2019 15:27:31 
إطلاق الشهادة الدولية في إدارة الثروات والاستثمار المقدمة من المعهد المُعْتمد للأوراق المالية والاستثمار,1440/11/29    01/08/2019 09:14:51 
تسجيل هيئة السوق المالية لشركة الدكتور محمد العمري وشركاه -محاسبون قانونيون,1440/11/28    31/07/2019 16:02:06 
تسجيل هيئة السوق المالية لشركة  الدكتور عبدالقادر بانقا وشركاه (المحاسبون المتحدون) محاسبون ومراجعون قانونيون,1440/11/28    31/07/2019 15:49:29 
تسجيل هيئة السوق المالية لشركة عبدالله محمد العظم و سلمان بندر السديري - العظم والسديري محاسبون ومراجعون قانونيون,1440/11/28    31/07/2019 15:44:39 
هيئة السوق المالية توافق على طلب تصريح تجربة التقنية المالية المقدم من شركة حصيد للاستثمار لاختبار خدمة المستشار الآلي (Robo-Advisory),1440/11/27    30/07/2019 17:26:12 
هيئة السوق المالية توافق على طلب تصريح تجربة التقنية المالية المقدم من شركة واحد للاستثمار المالية لاختبار خدمة المستشار الآلي (Robo-Advisory),1440/11/27    30/07/2019 17:13:55 
إيداع تعلن عن إطلاق خدمة وكيل الدفع لكافة المشاركين في السوق ,1440/11/27    30/07/2019 15:32:07 
"إعلان من السوق المالية السعودية (تداول) بشأن إدراج "" شركة عطاء التعليمية """,1440/11/26    29/07/2019 08:14:17 
مركز إيداع الأوراق المالية (إيداع) يعلن عن إضافة الأوراق المالية لشركة عطاء التعليمية  ,1440/11/26    29/07/2019 08:02:42 
تسجيل هيئة السوق المالية لشركة كي بي إم جي الفوزان وشركاه محاسبون ومراجعون قانونيون,1440/11/22    25/07/2019 08:59:51 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية لـصكوك الحكومة السعودية بالريال ,1440/11/22    25/07/2019 08:03:13 
إعلان بشأن الموافقة على إدراج أدوات الدين الحكومية من فئة سبق إدراجها في السوق المالية السعودية,1440/11/21    24/07/2019 15:41:01 
تسجيل هيئة السوق المالية لشركة السيد العيوطي وشركاه محاسبون قانونيون,1440/11/21    24/07/2019 15:29:28 
فرض غرامة مالية على  شركة تبوك للتنمية الزراعية، لمخالفتها نظام السوق المالية وتعميم صادر من مجلس الهيئة,1440/11/20    23/07/2019 16:56:04 
فرض غرامة مالية على  شركة الصحراء العالمية للبتروكيماويات ، لمخالفتها نظام السوق المالية وتعميم صادر من مجلس الهيئة,1440/11/20    23/07/2019 16:52:21 
فرض غرامة مالية على شركة الأحساء للتنمية، لمخالفتها نظام السوق المالية وتعميم صادر من مجلس الهيئة,1440/11/20    23/07/2019 16:50:53 
فرض غرامة مالية على  شركة الخزف السعودية، لمخالفتها نظام السوق المالية وتعميم صادر من مجلس الهيئة,1440/11/20    23/07/2019 16:46:54 
فرض غرامة مالية على  شركة  أميانتيت العربية السعودية، لمخالفتها نظام السوق المالية وتعميم صادر من مجلس الهيئة,1440/11/20    23/07/2019 16:45:21 
تسجيل هيئة السوق المالية لشركة برايس وترهاوس كوبرز محاسبون قانونيون,1440/11/20    23/07/2019 15:41:29 
 إجازة عيد الأضحى المبارك للسوق المالية السعودية (تداول),1440/11/19    22/07/2019 15:45:52 
ترخيص هيئة السوق المالية لشركة الصكوك الوطنية لتقديم خدمات أعمال الأوراق المالية,1440/11/14    17/07/2019 16:03:04 
فرض غرامة مالية على  شركة أسمنت تبوك، لمخالفتها نظام السوق المالية وتعميم صادر من مجلس الهيئة,1440/11/12    15/07/2019 16:43:34 
فرض غرامة مالية على بنك البلاد، لمخالفته نظام السوق المالية وتعميم صادر من مجلس الهيئة,1440/11/12    15/07/2019 16:39:15 
تسجيل هيئة السوق المالية لشركة آرنست ويونغ وشركاهم محاسبون قانونيون,1440/11/11    14/07/2019 16:01:56 
إعلان توضيحي من هيئة السوق المالية وشركة السوق المالية السعودية (تداول) بشأن الاستمرار في تعليق تداول أسهم شركة أبناء عبدالله عبدالمحسن الخضري,1440/11/11    14/07/2019 09:24:56 
تسجيل هيئة السوق المالية لشركة بيكر تيلي م ك م وشركاه محاسبون قانونيون,1440/11/08    11/07/2019 16:29:19 
نشرة إصدار شركة عطاء التعليمية,1440/11/08    11/07/2019 16:02:51 
فرض غرامة مالية على  الشركة السعودية للصادرات الصناعية، لمخالفتها نظام السوق المالية وتعميم صادر من مجلس الهيئة,1440/11/07    10/07/2019 16:39:48 
فرض غرامة مالية على شركة اليانز السعودي الفرنسي للتأمين التعاوني، لمخالفتها نظام السوق المالية وتعميم صادر من مجلس الهيئة,1440/11/07    10/07/2019 16:29:38 
"إعلان من هيئة السوق المالية بشأن الموافقة على طرح وحدات ""صندوق الإنماء الوقفي للمساجد"" طرحاً عاماً",1440/11/07    10/07/2019 09:14:55 
تسجيل هيئة السوق المالية لشركة إبراهيم أحمد البسام وشركاؤه محاسبون قانونيون (البسام وشركاؤه),1440/11/05    08/07/2019 15:54:34 
فرض غرامة مالية على الشركة العربية للأنابيب، لمخالفتها قواعد طرح الأوراق المالية والالتزامات المستمرة,1440/10/30    03/07/2019 15:47:11 
تقرير أداء السوق المالية السعودية – النصف الأول 2019 م ,1440/10/28    01/07/2019 15:57:59 
موافقة الهيئة على طلب الشركة الأهلية للتأمين التعاوني تخفيض رأس مالها,1440/10/28    01/07/2019 15:28:54 
تعلن السوق المالية السعودية عن نشر التقرير الشهري لملكية الأسهم والقيمة المتداولة (حسب الجنسية ونوع المستثمر),1440/10/28    01/07/2019 15:25:00 
إعلان من السوق المالية السعودية (تداول) بشأن استمرار تعليق تداول سهم  شركة  إتحاد عذيب للاتصالات ,1440/10/28    01/07/2019 08:40:36 
إعلان من هيئة السوق المالية بشأن الموافقة على طرح أسهم شركة رؤوم التجارية في السوق الموازية,1440/10/27    30/06/2019 17:35:56 
إعلان من شركة السوق المالية السعودية (تداول) بشأن رفع تعليق تداول سهم الشركة الوطنية للتسويق الزراعي,1440/10/27    30/06/2019 08:33:24 
 السوق المالية السعودية (تداول) تعلن عن تحديث الأسهم الحرة (المتاحة للتداول) لجميع الشركات للربع الثاني 2019 م,1440/10/27    30/06/2019 08:09:19 
 السوق المالية السعودية ( تداول ) تعلن عن صيانة المؤشرات للربع الثاني 2019 م,1440/10/27    30/06/2019 08:06:19 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على  الأوراق المالية لـصكوك الحكومة السعودية بالريال,1440/10/24    27/06/2019 08:13:32 
إعلان بشأن الموافقة على إدراج أدوات الدين الحكومية من فئة سبق إدراجها في السوق المالية السعودية,1440/10/23    26/06/2019 15:49:12 
إعلان من هيئة السوق المالية بشأن صدور قرار نهائي من لجنة الاستئناف في منازعات الأوراق المالية,1440/10/23    26/06/2019 15:45:47 
إعلان عن اعتماد التعليمات المنظمة لتملك المستثمرين الاستراتيجيين الأجانب حصصاً استراتيجية في الشركات المدرجة ,1440/10/23    26/06/2019 15:39:47 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على  الأوراق المالية لشركة الاتحاد للتأمين التعاوني.,1440/10/21    24/06/2019 08:21:27 
موافقة الهيئة على طلب الشركة المتقدمة للبتروكيماويات زيادة رأس مالها عن طريق منح أسهم مجانية,1440/10/20    23/06/2019 16:33:04 
موافقة الهيئة على طلب شركة الأعمال التطويرية الغذائية زيادة رأس مالها عن طريق منح أسهم مجانية,1440/10/20    23/06/2019 16:28:48 
السوق المالية السعودية (تداول) تعلن عن احتساب نسبة التذبذب لسهم شركة الاتحاد للتأمين التعاوني على اساس سعر 15.60 ريال,1440/10/17    20/06/2019 08:00:33 
إعلان من السوق المالية السعودية (تداول) بشأن إلغاء إدراج أسهم البنك الأول,1440/10/15    18/06/2019 08:30:15 
مركز إيداع الأوراق المالية (إيداع) يعلن عن تطبيق إجراءات المصدر على الأوراق المالية للبنك السعودي البريطاني .,1440/10/15    18/06/2019 08:24:58 
إعلان من شركة السوق المالية السعودية (تداول) بشأن تعليق تداول سهم الشركة الوطنية للتسويق الزراعي,1440/10/15    18/06/2019 08:21:58 
"إعلان من السوق المالية السعودية (تداول) بشأن إدراج "" شركة مهارة للموارد البشرية """,1440/10/13    16/06/2019 15:36:38 
إعلان من السوق المالية السعودية (تداول) بشأن تعليق تداول سهم  البنك الأول,1440/10/13    16/06/2019 08:37:09 
